Product Name,Product Number,Product Price
MSI GP73 8RF-648NE Leopard 17.3" pelikannettava (musta),10387,2 199 
Lenovo Ideapad S130 14" kannettava (harmaa),10416,399Outletista alkaen 329€
Lenovo Legion Y530 15.6" pelikannettava (musta),10417,1 449 
Lenovo Ideapad 330 17.3" kannettava (musta),10419,949 
Lenovo Legion Y530 15.6" pelikannettava (musta),10422,1 449Outletista alkaen 1 358€
Lenovo Ideapad 330 15.6" kannettava (platina),10423,1 049 
Lenovo Yoga 920 13.9" 2-in-1 (platina),10424,1 699 
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),10428,849Outletista alkaen 732€
HP Pavilion Gaming 15-cx0816no 15.6" pelikannettava,10437,1 499 
HP 15-da0803no 15.6" kannettava (musta),10440,749Outletista alkaen 534€
HP 15-da1806no 15.6" kannettava (musta),10442,599Outletista alkaen 429€
HP 15-da1807no 15.6" kannettava (musta),10443,649Outletista alkaen 464€
Lenovo Ideapad 530s 14" kannettava (harmaa),10556,1 399Outletista alkaen 1 311€
Asus VivoBook Flip TP412UA 14" 2-in-1 (harmaa),10975,649 
HP Chromebook x2 12-f080no 12.3" 2-in-1 (valkoinen/harmaa),11215,899 
HP Chromebook x360 14-da0001no 14" 2-in-1 (valkoinen/harmaa),11218,799 
HP Envy 13-ah1803no 13.3" kannettava (hopea),11220,1 199 
HP Pavilion x360 2-in-1 14-cd1808no 14" (hopea),11228,899 
HP Spectre Folio 2-in-1 13-ak0801no (konjakinruskea),11249,1 899 
HP Spectre x360 2-in-1 13-ap0800no (harmaa/kupari),11266,1 699 
HP Spectre x360 2-in-1 13-ap0801no (harmaa/kupari),11272,1 749Outletista alkaen 1 584€
HP Spectre x360 2-in-1 13-ap0803no (harmaa/kupari),11277,1 599 
HP Pavilion x360 2-in-1 14-dd0811no 14" (hopea),11805,749Outletista alkaen 609€
Lenovo Chromebook S330 14" kannettava (musta),12511,369 
Lenovo Chromebook C330 11.6" 2-in-1 (valkoinen),12512,379 
Lenovo Chromebook Yoga C630 15.6" 2-in-1 (yönsininen),12513,899 
Lenovo Chromebook C330 11.6" 2-in-1 (valkoinen),12515,399 
Asus TUF Gaming FX705 17.3" pelikannettava (kulta/teräs),12820,1 449 
Asus TUF Gaming FX705 17.3" pelikannettava (kulta/teräs),12821,1 599 
Asus Chromebook C423. 14” fHD kannettava tietokone (hopea/musta),12827,439 
Asus ZenBook 13 UX333FN 13.3" kannettava (sininen),12828,1 549 
Asus Chromebook C523. 15.6” HD kannettava tietokone (hopea/musta),12836,339 
Acer TravelMate X349 14" kannettava (musta),12889,1 099 
Acer Nitro 5 15.6" pelikannettava (musta),13888,849 
Acer Swift 3 Pro 13.3” kannettava (hopea),14152,949 
HP Pavilion 13-an0806no 13.3" kannettava (hopea),14416,799 
HP Pavilion 13-an0808no 13.3" kannettava (hopea),14420,1 099 
MacBook Air 2018 13.3" 256 GB (hopea),15036,1 629 
MacBook Air 2018 13.3" 256 GB (tähtiharmaa),15057,1 629 
MacBook Air 2018 13.3" 128 GB (kulta),15082,1 199 
Lenovo Legion Y530 15.6" pelikannettava 256 GB (musta),16254,1 299 
Lenovo Ideapad 530s 14" kannettava (musta),16269,899 
Acer Aspire 3 15.6" kannettava (musta),16470,399 
Lenovo ThinkPad Yoga 370 13.3" 2-in-1 (hopea),20JH003QMX,1 599Outletista alkaen 1 497€
Lenovo ThinkPad E480 14" kannettava 3y On-site,20KQ000RMX,999 
Lenovo ThinkPad T580 15.6" kannettava 3y On-site,20LA0022MX,1 799 
Lenovo ThinkPad X380 Yoga 13.3" 2-in-1 3y On-site,20LHS0AB00,1 799 
Lenovo ThinkPad L480 14" kannettava 3y On-site,20LSS0EC00,979 
Lenovo ThinkPad L480 14" kannettava 3y On-site,20LSS0ED00,919 
Lenovo ThinkPad L380 Yoga 13.3" 2-in-1 3y On-site,20M7S07900,1 399 
Predator Helios 300 17.3" pelikannettava (musta),ACNHQ29ED004,1 497Outletista alkaen 1 312€
Predator Triton 700 15.6" pelikannettava,ACNHQ2KED013,2 199 
Predator Helios 300 17.3" pelikannettava (musta),ACNHQ2MED014,1 249Outletista alkaen 1 172€
Acer Nitro 5 15.6" pelikannettava (musta),ACNHQ2SED002,897Outletista alkaen 548€
Predator Helios 300 17.3" pelikannettava (musta),ACNHQ3DED022,1 599 
Predator Helios 300 17.3" pelikannettava (musta),ACNHQ3EED012,1 249Outletista alkaen 1 172€
Predator Helios 300 15.6" pelikannettava (musta),ACNHQ3FED030,1 799 
Predator Helios 500 17.3" pelikannettava (musta),ACNHQ3NED009,2 389 
Acer Nitro 5 15.6" pelikannettava (musta),ACNHQ3XED024,1 399 
Acer Nitro 5 SE 15.6" pelikannettava (musta),ACNHQ3YED004,1 189 
Acer Nitro 5 SE 15.6" kannettava tietokone (musta),ACNHQ3ZED003,1 099Outletista alkaen 944€
Acer Nitro 5 SE 15.6" pelikannettava (musta),ACNHQ4CED001,1 039 
Acer Nitro 5 SE 15.6" pelikannettava (musta),ACNHQ4DED001,929Outletista alkaen 800€
Acer Chromebook 14 14" kannettava (hopea),ACNXGC2ED019,409Outletista alkaen 337€
Acer Aspire E5 14" kannettava (harmaa/musta),ACNXGCUED011,397Outletista alkaen 347€
Acer Aspire ES1-732 17.3" kannettava (musta),ACNXGH4ED012,499 
Acer Chromebook 15 15.6" kannettava (harmaa),ACNXGHJED001,309Outletista alkaen 273€
Acer Chromebook 14 14" kannettava (kulta),ACNXGJEED021,409 
Acer Chromebook R13 13.3" 2-in-1 (hopea),ACNXGL4ED003,459 
Acer Swift 5 14" kannettava,ACNXGLDED005,897 
Acer Chromebook 11 N7 11.6" kannettava (valk/sin),ACNXGN3ED008,329 
Acer Chromebook 11 N7 11.6" kannettava (valk/sin),ACNXGN3ED010,269Outletista alkaen 239€
Acer Chromebook 11 N7 11.6" kannettava (valk/sin),ACNXGN4ED002,359 
Acer Swift 1 13.3" kannettava (hopea),ACNXGNLED001,499Outletista alkaen 409€
Acer Swift 1 13.3" kannettava (hopea),ACNXGNLED003,499 
Acer Swift 3 14" kannettava (hopea),ACNXGNUED008,627Outletista alkaen 512€
Acer Swift 3 14" kannettava (hopea),ACNXGNUED011,597Outletista alkaen 488€
Acer Swift 3 14" kannettava (hopea),ACNXGNXED001,467Outletista alkaen 407€
Acer Chromebook 15 15.6" kannettava (hopea),ACNXGP0ED001,399Outletista alkaen 349€
Acer Chromebook 15 15.6" kannettava (hopea),ACNXGP0ED004,519Outletista alkaen 451€
Acer Chromebook 15 15.6" kannettava (hopea),ACNXGP0ED006,409Outletista alkaen 358€
Acer Swift 1 13.3" kannettava (hopea),ACNXGP2ED003,369Outletista alkaen 305€
Acer Aspire 7 15.6" kannettava (musta),ACNXGP8ED006,878 
Acer Swift 3 14" kannettava (sininen),ACNXGPKED001,397 
Acer Swift 3 14" kannettava (sin.),ACNXGPLED003,627Outletista alkaen 512€
Acer Swift 3 14" kannettava (sininen),ACNXGPLED006,597Outletista alkaen 428€
Acer Chromebook 15 15.6" kannettava (hopea),ACNXGPTED001,539 
Acer Chromebook 15 15.6" kannettava (hopea),ACNXGPTED002,619 
Acer Swift 3 15.6" kannettava (teräksenharmaa),ACNXGQ5ED005,497Outletista alkaen 408€
Acer Swift 3 14" kannettava (hopea),ACNXGQGED004,627Outletista alkaen 512€
Acer Swift 3 14" kannettava (sininen),ACNXGQJED002,647Outletista alkaen 463€
Acer Swift 3 14" kannettava (pinkki),ACNXGQLED002,799Outletista alkaen 689€
Acer Swift 3 15.6" kannettava (teräksenharmaa),ACNXGSJED004,997Outletista alkaen 937€
Acer Swift 5 14" kannettava (sininen),ACNXGTMED005,1 199 
Acer Swift 5 14" kannettava (sininen),ACNXGTMED006,989Outletista alkaen 930€
Acer Chromebook Spin 11 11.6" 2-in-1 (hopea),ACNXGV2ED001,409 
Acer Swift 3 15.6" kannettava (teräksenharmaa),ACNXGV7ED009,999 
Acer Chromebook Spin 11 11.6" 2-in-1 + kynä (hopea),ACNXGVFED039,479 
Acer Aspire 5 15.6" kannettava tietokone (musta),ACNXGVLED005,649 
Acer Chromebook Spin 15 15.6" 2-in-1 (hopea),ACNXGWGED004,689Outletista alkaen 492€
Acer Chromebook Spin 15 15.6" 2-in-1 (hopea),ACNXGWGED005,579 
Acer Chromebook Spin 15 15.6" 2-in-1 (hopea),ACNXGWGED009,699 
Acer Aspire 3 15.6" kannettava (musta),ACNXGY9ED011,449Outletista alkaen 324€
Acer Aspire 3 15.6" kannettava (musta),ACNXGY9ED012,549Outletista alkaen 449€
Acer Aspire 3 15.6" kannettava (musta),ACNXGY9ED015,719Outletista alkaen 513€
Acer Swift 3 15.6" kannettava (hopea),ACNXGZ8ED002,499Outletista alkaen 434€
Acer Swift 3 15.6" kannettava (hopea),ACNXH1MED001,849 
Acer Swift 3 15.6" kannettava (hopea),ACNXH1NED001,899 
Acer Swift 3 14" kannettava (hopea),ACNXH1SED001,849 
Acer Swift 3 14" kannettava (hopea),ACNXH1SED002,749 
Asus VivoBook 14 kannettava (harmaa),ASA411UEB684T,397 
Asus Chromebook Flip C302 12.5" 2-in-1 (hopea),ASC302CAGU005,619 
Asus TUF Gaming FX504 15.6" pelikannettava (musta),ASFX504G035,1 659Outletista alkaen 1 553€
Asus TUF Gaming FX504 15.6" pelikannettava (musta),ASFX504G4036,1 049 
Asus TUF Gaming FX504 15.6" pelikannettava (musta),ASFX504G418,1 349 
