Product Name,Product Number,Product Price
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),LE81CT007KMX,1 399 
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),LE81DE00GTMX,749Outletista alkaen 534€
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),LE81DE00GUMX,849 
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),LE81DE016KMX,1 049 
Lenovo Ideapad 330 15.6" kannettava (lumivalkoinen),LE81DE016XMX,549 
Lenovo Ideapad 330 17.3" kannettava (musta),LE81DK001LMX,549Outletista alkaen 449€
Lenovo Ideapad 330 17.3" kannettava (musta),LE81DM004UMX,699Outletista alkaen 569€
Lenovo Yoga 530 14" 2-in-1 (onyksinmusta),LE81EK00C8MX,949 
Lenovo Yoga 530 14" 2-in-1 (onyksinmusta),LE81EK00C9MX,799 
Lenovo Yoga 530 14" 2-in-1 (onyksinmusta),LE81EK00CAMX,649 
Lenovo Ideapad 530s 14" kannettava (onyksinmusta),LE81EU00BQMX,649Outletista alkaen 562€
Lenovo Ideapad 530s 14" kannettava (onyksinmusta),LE81EU00BSMX,999 
Lenovo Ideapad 530s 14" kannettava (onyksinmusta),LE81EU00BTMX,1 049 
Lenovo Ideapad 530s 14" kannettava (onyksinmusta),LE81EU00BUMX,1 149 
Lenovo Ideapad 530s 14" kannettava (harmaa),LE81EU00D2MX,649Outletista alkaen 529€
Lenovo Ideapad 530s 14" kannettava (harmaa),LE81EU00D5MX,799Outletista alkaen 689€
Lenovo Ideapad 530s 15.6" kannettava (onyksinmusta),LE81EV0058MX,999 
Lenovo Ideapad 530s 15.6" kannettava (onyksinmusta),LE81EV0059MX,749 
Lenovo Ideapad 330 15.6" kannettava (musta),LE81FK007KMX,1 249Outletista alkaen 1 172€
Lenovo Legion Y530 15.6" pelikannettava (musta),LE81FV007TMX,1 199 
Lenovo Legion Y530 15.6" pelikannettava (musta),LE81FV00F9MX,1 399 
Lenovo Ideapad 530s 14" kannettava (harmaa),LE81H10000MX,549Outletista alkaen 449€
Lenovo Ideapad 530s 14" kannettava (onyksinmusta),LE81H1001LMX,549Outletista alkaen 449€
Lenovo Ideapad 530s 14" kannettava (onyksinmusta),LE81H1001MMX,849Outletista alkaen 732€
Lenovo Ideapad 530s 14" kannettava (harmaa),LE81H1002HMX,849 
Lenovo Yoga 530 14" 2-in-1 (onyksinmusta),LE81H9000PMX,519 
Lenovo Yoga 530 14" 2-in-1 (onyksinmusta),LE81H9000QMX,899Outletista alkaen 774€
Lenovo Yoga 920 13.9" 2-in-1 (platina),LEN80Y7003JMX,1 549Outletista alkaen 1 358€
Lenovo Yoga Book 10.1" 64 GB 4G LTE (harmaa),LEZA0W0010SE,349Outletista alkaen 219€
Lenovo Yoga A12 12.2" 2-in-1 32 GB WiFi (harmaa),LEZA1Y0022SE,247Outletista alkaen 183€
MacBook Air 13.3" MQD42,MACAMQD42KSA,1 149Outletista alkaen 987€
MacBook 12" MLHE2 (kulta),MACBMLHE2KSA,1 475Outletista alkaen 1 338€
MacBook 12" MNYG2 (tähtiharmaa),MACBMNYG2KSA,1 649 
MacBook 12" MNYH2 (hopea),MACBMNYH2KSA,1 399Outletista alkaen 1 199€
MacBook 12" MNYJ2 (hopea),MACBMNYJ2KSA,1 649Outletista alkaen 1 494€
MacBook 12" MNYL2 (kulta),MACBMNYL2KSA,1 694Outletista alkaen 1 535€
MacBook Pro 15 (tähtiharmaa),MACBPMLH32KSA,2 599Outletista alkaen 2 219€
MacBook Pro 15 Touch Bar (tähtiharmaa),MACBPMLH42KSA,2 799Outletista alkaen 2 445€
MacBook Pro 15 MPTT2 (tähtiharmaa),MACBPMPTT2KSA,2 999Outletista alkaen 2 709€
MacBook Pro 13 MPXT2 (tähtiharmaa),MACBPMPXT2KSA,1 599Outletista alkaen 1 497€
MacBook Pro 15 2018 (tähtiharmaa),MACBPMR932KSA,2 649Outletista alkaen 2 394€
MacBook Pro 15 2018 (tähtiharmaa),MACBPMR942KSA,3 249 
MacBook Pro 15 2018 (hopea),MACBPMR962KSA,2 899 
MacBook Pro 15 2018 (hopea),MACBPMR972KSA,3 249 
MacBook Pro 13 Touch Bar 2018 (tähtiharmaa),MACBPMR9R2KSA,2 299 
MacBook Pro 13 Touch Bar 2018 (hopea),MACBPMR9U2KSA,1 999Outletista alkaen 1 809€
MacBook Pro 13 Touch Bar 2018 (hopea),MACBPMR9V2KSA,2 299 
Surface Book 2 15" 1 TB,MSFVH00021,3 899 
MSI GE62MVR 7RG-039NE Apache Pro 15.6" pelikannettava,MSIGE627RG039,1 999Outletista alkaen 1 869€
MSI GE72VR 7RF-605NE Apache Pro 17.3" pelikannettava,MSIGE727RF605,1 497Outletista alkaen 1 356€
MSI GP62MVR 7RF-633NE 15.6" pelikannettava,MSIGP627RF633,1 299Outletista alkaen 1 218€
MSI GS63 7RE-037NE Stealth Pro 15.6" pelikannettava,MSIGS637RE037,1 397Outletista alkaen 1 197€
MSI GS63VR 7RF-218NE Stealth Pro 15.6" pelikannettava,MSIGS637RF218,1 447Outletista alkaen 1 240€
MSI GS73 8RE-017NE Stealth Pro 17.3" pelikannettava,MSIGS738RE017,2 079 
MSI GT63VR 8RF-034NE Dominator Pro 15.6" pelikannettava,MSIGT638RF034,2 599 
MSI GT75 8RG-048NE Titan Pro 17.3" pelikannettava,MSIGT758RG048,3 529 
MSI GT83VR 7RF-216NE Titan 18.4" pelikannettava,MSIGT837RF216,4 999Outletista alkaen 4 659€
MSI GV62 8RC-029NE 15.6" pelikannettava,MSIGV628RC029,797 
MSI GV62 8RC-201NE 15.6" pelikannettava,MSIGV628RC201,1 039Outletista alkaen 976€
MSI GV62 8RD-028NE 15.6" pelikannettava,MSIGV628RD028,1 139 
MSI GV62 8RE-017NE 15.6" pelikannettava,MSIGV628RE017,1 449Outletista alkaen 1 242€
MSI GV72 8RD-026NE 17.3" pelikannettava,MSIGV728RD026,1 189 
MSI GV72 8RD-027NE 17.3" pelikannettava,MSIGV728RD027,1 349 
MSI GV72 8RE-019NE 17.3" pelikannettava,MSIGV728RE019,1 609Outletista alkaen 1 458€
Surface Book 2 13.5" i5 256 GB,MSSB2I58256,1 799Outletista alkaen 1 683€
Surface Book 2 13.5"  i7 1 TB,MSSB2I7161G,3 549 
Surface Book 2 13.5" i7 512 GB,MSSB2I716512G,2 949Outletista alkaen 2 753€
Surface Book 2 13.5" i7 256 GB,MSSB2I78256G,2 349Outletista alkaen 2 195€
Surface Go 64 GB,MSSGOPEN464,469Outletista alkaen 338€
Surface Go 128 GB,MSSGOPEN8128,619Outletista alkaen 443€
Surface Laptop i5 128 GB (platina),MSSLI58128PL,799 
Surface Laptop i5 256 GB (sininen),MSSLI58256BLU,899Outletista alkaen 774€
Surface Laptop i5 256 GB (burgundi),MSSLI58256BUR,899 
Surface Laptop i5 256 GB (kulta),MSSLI58256GRA,899 
Surface Laptop i7 512 GB (platina),MSSLI716512PL,1 599 
Surface Pro 128 GB i5,MSSPJI58128,849 
Surface Pro 256 GB i5,MSSPJI58256,1 049Outletista alkaen 986€
Surface Pro 256 GB i7,MSSPJI78256,1 199Outletista alkaen 1 125€
Acer Switch 5 12" 2-in-1 (musta),NTLDTED001,999 
Acer TravelMate P2510-M 15.6" kannettava (musta),NXVGAED003,759 
Acer TravelMate P648 G3 14" kannettava (musta),NXVGGED004,1 499 
Acer TravelMate P2410-M 14" kannettava (musta),NXVGKED002,869 
Toshiba Satellite L50-B-2FN 15.6" kannettava (musta),SATL50B2FN,599Outletista alkaen 429€
Toshiba Satellite Z30-B-10C 13.3" kannettava,SATZ30B10C3,1 149 
HP ProBook 440 G4 14" kannettava (hopea),W6N87AV,799 
HP ProBook 430 G4 13.3" kannettava (hopea),W6P93AV,699 
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),10025,1 449 
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),10026,1 399 
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),10027,1 649 
HP Pavilion 13-an0800no 13.3" kannettava (vaalea kulta),10448,799 
Asus TUF Gaming FX504 15.6" pelikannettava (musta),11174,1 349 
HP Chromebook x360 14-da0000no 14" 2-in-1 (valkoinen/harmaa),11217,749 
HP Envy 13-ah1804no 13.3" kannettava (hopea),11224,1 349 
HP Pavilion 14-ce1810no 14" kannettava (hopea),11227,999 
HP Spectre Folio 2-in-1 13-ak0800no (konjakinruskea),11244,1 799 
HP Spectre Folio 2-in-1 13-ak0802no (konjakinruskea),11253,1 899 
HP Spectre Folio 2-in-1 13-ak0803no (konjakinruskea),11259,2 099 
HP Spectre x360 2-in-1 15-df0800no (harmaa/kupari),11284,2 299 
HP Spectre x360 2-in-1 15-df0801no (sininen/kulta),11325,2 399 
HP Pavilion x360 2-in-1 14-dd0812no 14" (hopea),11806,619 
Lenovo Chromebook Yoga C630 15.6" 2-in-1 (yönsininen),12514,799 
Asus ROG Strix SCAR II 17.3" pelikannettava (musta),12824,2 599 
Asus TUF Gaming FX505 15.6" pelikannettava (kulta teräs),12826,1 399 
Asus ZenBook 13 UX333FA 13.3" kannettava (hopea),12829,989 
Asus Chromebook C523. 15.6” FHD kannettava tietokone (hopea/musta),12830,359Outletista alkaen 315€
Asus TUF Gaming FX505 15.6"pelikannettava (kulta teräs),12831,1 549 
Asus ROG Strix Hero 2 15.6" pelikannettava (musta),12832,2 799 
Asus ZenBook 13 UX333FN 13.3" kannettava (hopea),12835,1 349 
Dell Latitude 5490 14" kannettava (musta),12883,929 
Acer TravelMate P658 G3 15.6" kannettava (musta),12887,1 199 
Dell Latitude 7390 13.3" kannettava (musta),13342,1 599 
Acer Chromebook Spin 13 13.5" 2-in-1 (harmaa),13648,999 
Acer Chromebook 14 kannettava (hopea),13652,449 
Acer Chromebook 14 kannettava (hopea),13653,399 
Acer Chromebook 14 kannettava (hopea),13654,549 
Acer Chromebook Spin 13 13.5" 2-in-1 (harmaa),13655,849 
Acer Swift 3 Pro 13.3” kannettava (hopea),14151,889 
HP Pavilion 13-an0807no 13.3" kannettava (hopea),14418,949 
HP ProBook 450 G5 15.6" kannettava (hopea),14650,1 099 
HP ProBook 440 G5 14" kannettava (hopea),14651,909 
HP ProBook 440 G5 14" kannettava (hopea),14656,809 
HP Spectre x360 2-in-1 13-ap0802no 4G(harmaa/kupari),14944,1 899 
MacBook 12" MRQP2 (kulta),15052,1 849 
MacBook 12" MRQN2 (kulta),15067,1 549 
Lenovo Ideapad 330 15.6" kannettava (musta),16236,999 
Lenovo Ideapad 330 15.6" kannettava (musta),16237,849 
Lenovo Yoga S730 13.3" kannettava (platina),16238,1 299 
Lenovo Ideapad 530s 14" kannettava (harmaa),16239,899 
Lenovo Ideapad 530s 15.6" kannettava (musta),16240,999 
Lenovo Yoga C930 13.9" 2-in-1 (harmaa),16241,1 399 
Lenovo Yoga C630 13.3" 2-in-1 (harmaa),16242,949 
Lenovo Yoga 730 15.6" 2-in-1 (metallinharmaa),16243,1 249 
Lenovo Ideapad 530s 14" kannettava (musta),16244,749 
Lenovo Yoga C930 13.9" 2-in-1 (harmaa),16245,1 799 
Lenovo Legion Y530 15.6" pelikannettava 512 GB (musta),16246,1 599 
Lenovo Ideapad 330 17.3" kannettava (musta),16249,499 
Lenovo Ideapad S130 14" kannettava (harmaa),16251,329 
Lenovo Ideapad 530s 14" kannettava (harmaa),16252,749 
Lenovo Ideapad 530s 14" kannettava (musta),16253,1 199 
Lenovo Ideapad 330s 14" kannettava (raudanharmaa),16255,499 
Lenovo Ideapad 530s 14" kannettava (musta),16259,999 
Lenovo Yoga 730 13.3" 2-in-1 (metallinharmaa),16260,1 399 
Lenovo Yoga C930 13.9" 2-in-1 (harmaa),16261,1 599 
Lenovo Yoga 530 14" 2-in-1 (onyx musta),16262,899 
Lenovo Ideapad 330s 14" kannettava (platinanharmaa),16264,549 
Lenovo Ideapad 530s 14" kannettava (musta),16265,1 049 
Lenovo Ideapad 330 15.6" kannettava (platinanharmaa),16267,599 
Acer Aspire 3 15.6" kannettava (musta),16450,499 
Acer Swift 1 14" kannettava (hopea),16451,529 
Acer Nitro 5 15.6” pelikannettava (musta),16454,1 299 
Acer Spin 3 14" 2-in-1 kannettava (harmaa),16456,599 
Acer Swift 3 14" kannettava (hopea),16457,1 199 
Acer Swift 3 14" kannettava (hopea),16461,779 
Acer Swift 3 14" kannettava (hopea),16462,1 049 
Acer Aspire 5 17.3" kannettava (musta),16464,849 
Acer Aspire 5 15.6" kannettava (musta),16466,899 
Acer Swift 5 14” kannettava (harmaa),16467,999 
Acer Swift 5 15.6” kannettava (hopea),16468,1 399 
Acer Swift 3 13.3” kannettava (hopea),16471,879 
Acer Swift 3 13.3” kannettava (hopea),16472,599 
Acer Swift 5 14” kannettava (harmaa),16473,1 299 
Acer Swift 3 13.3” kannettava (hopea),16474,749 
Acer Swift 3 13.3” kannettava (hopea),16475,999 
Acer Swift 3 13.3” kannettava (hopea),16476,1 079 
Acer Swift 5 15.6” laptop (silver),16478,1 199 
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),16670,649 
Asus ROG Zephyrus S GX701 17.3" pelikannettava (musta),16678,3 299 
Asus ROG Strix SCAR II 15.6" pelikannettava (musta),16682,2 099 
Asus TUF Gaming FX705 17.3" pelikannettava (red matter),16684,999 
Asus ROG Zephyrus S GX531 15.6" pelikannettava (musta),16691,3 199 
MSI GT75 8SG-029NE 17.3" pelikannettava (musta),16753,4 699 
MSI GT63 8SG-011NE 15.6" pelikannettava (musta),16754,3 299 
MSI GE63 8SE-023NE 15.6" pelikannettava (musta),16757,2 099 
Surface Pro 6 256 GB i7 (musta),18162,1 749 
Surface Pro 6 256 GB i5 (musta),18166,1 449 
Surface Laptop 2 i5 128 GB (platina),18167,1 179 
Surface Laptop 2 i5 256 GB (platina),18169,1 549 
Surface Laptop 2 i5 256 GB (musta),18170,1 549 
Lenovo ThinkPad X1 Carbon 14" kannettava 3y On-site,20KHS0W600,2 099 
Lenovo ThinkPad T480 14" kannettava 3y On-site,20L60033MX,1 699 
Lenovo ThinkPad T480 14" kannettava 3y On-site,20L8002QMX,1 699 
Lenovo ThinkPad T480s 14" kannettava 3y On-site,20L8002RMX,2 099 
Lenovo ThinkPad L380 13.3" kannettava 3y On-site,20M5S09Y00,1 299 
Lenovo ThinkPad L380 Yoga 13.3" 2-in-1 3y On-site,20M7S07800,1 199 
Acer Switch 7 13.5" 2-in-1 (musta),ACNTLEPED001,1 999 
Acer Swift 7 SF713-51 13.3" kannettava,ACNXGK6ED001,995Outletista alkaen 856€
Acer Swift 7 14" kannettava (musta),ACNXGUHED001,1 599 
Acer Swift 3 15.6" kannettava (teräksenharmaa),ACNXGV7ED017,649 
Acer Chromebook Spin 15 15.6" 2-in-1 (hopea),ACNXGWGED003,669 
Asus ROG G703GI 17.3" pelikannettava,ASG703G5013,4 049 
Asus ROG G703GI 17.3" pelikannettava,ASG703G5073,4 679Outletista alkaen 4 361€
Asus ROG Zephyrus M GM501 15.6" pelikannettava (musta),ASGM501G054,3 219 
Asus ROG Zephyrus GX501 15.6" pelikannettava (musta),ASGX501G016,3 849 
Dell XPS 13-9370 13.3" kannettava (platina),DEXPS9370603,1 799 
Dell XPS 15-9575 15.6" 2-in-1 (platinahopea),DEXPS9575410,1 899 
Lenovo ThinkPad T470s 14.1" kannettava (musta),LE20HF004VMX,1 699Outletista alkaen 1 539€
Lenovo Yoga 730 13.3" 2-in-1 (kupari),LE81CT007VMX,1 199 
MSI GT75 8RG-080NE Titan Pro 17.3" pelikannettava,MSIGT758RG080,4 259 
Surface Book i5 13.5" 128 GB,MSSBI58128,1 299Outletista alkaen 1 140€
