"date","close","volume","open","high","low"

"2019/02/08","105.6700","21453990.0000","104.3900","105.7800","104.2603"
"2019/02/07","105.2700","29735930.0000","105.1850","105.5900","104.2900"
"2019/02/06","106.0300","20577980.0000","107.0000","107.0000","105.5300"
"2019/02/05","107.2200","27270810.0000","106.0600","107.2700","105.9600"
"2019/02/04","105.7400","31216260.0000","102.8700","105.8000","102.7700"
"2019/02/01","102.7800","35243730.0000","103.7750","104.0999","102.3500"
"2019/01/31","104.4300","55442870.0000","103.8000","105.2200","103.1800"
"2019/01/30","106.3800","47203190.0000","104.6200","106.3800","104.3300"
"2019/01/29","102.9400","31262200.0000","104.8800","104.9700","102.1700"
"2019/01/28","105.0800","29402020.0000","106.2600","106.4800","104.6600"
"2019/01/25","107.1700","31182240.0000","107.2400","107.8800","106.5900"
"2019/01/24","106.2000","23125910.0000","106.8600","107.0000","105.3400"
"2019/01/23","106.7100","25512110.0000","106.1200","107.0400","105.3400"
"2019/01/22","105.6800","32092050.0000","106.7500","107.1000","104.8600"
"2019/01/18","107.7100","37299850.0000","107.4600","107.9000","105.9100"
"2019/01/17","106.1200","27151570.0000","105.0000","106.6250","104.7600"
"2019/01/16","105.3800","29655860.0000","105.2600","106.2550","104.9600"
"2019/01/15","105.0100","31537490.0000","102.5100","105.0500","101.8800"
"2019/01/14","102.0500","27194560.0000","101.9000","102.8716","101.2600"
"2019/01/11","102.8000","28235260.0000","103.1900","103.4400","101.6400"
"2019/01/10","103.6000","29978930.0000","103.2200","103.7500","102.3800"
"2019/01/09","104.2700","32261890.0000","103.8600","104.8800","103.2445"
"2019/01/08","102.8000","31322920.0000","103.0400","103.9700","101.7134"
"2019/01/07","102.0600","35567820.0000","101.6400","103.2681","100.9800"
"2019/01/04","101.9300","43982700.0000","99.7200","102.5100","98.9300"
"2019/01/03","97.4000","42111650.0000","100.1000","100.1850","97.2000"
"2019/01/02","101.1200","35145360.0000","99.5500","101.7500","98.9400"
"2018/12/31","101.5700","33161320.0000","101.2900","102.4000","100.4400"
"2018/12/28","100.3900","38160810.0000","102.0900","102.4100","99.5200"
"2018/12/27","101.1800","49162950.0000","99.3000","101.1900","96.4000"
"2018/12/26","100.5600","51330280.0000","95.1400","100.6900","93.9600"
"2018/12/24","94.1300","43935190.0000","97.6800","97.9700","93.9800"
"2018/12/21","98.2300","110945000.0000","101.6300","103.0000","97.4600"
"2018/12/20","101.5100","70221500.0000","103.0500","104.3100","98.7800"
"2018/12/19","103.6900","68110780.0000","103.6500","106.8800","101.3500"
"2018/12/18","103.9700","48033550.0000","103.7500","104.5100","102.5200"
"2018/12/17","102.8900","56837160.0000","105.4100","105.8000","101.7100"
"2018/12/14","106.0300","46961130.0000","108.2500","109.2600","105.5000"
"2018/12/13","109.4500","30600890.0000","109.5800","110.8700","108.6300"
"2018/12/12","109.0800","36169700.0000","110.8900","111.2700","109.0400"
"2018/12/11","108.5900","42342240.0000","109.8000","110.9500","107.4400"
"2018/12/10","107.5900","40463870.0000","104.8000","107.9800","103.8900"
"2018/12/07","104.8200","44391210.0000","108.3800","109.4500","104.3000"
"2018/12/06","109.1900","47866160.0000","105.8200","109.2400","105.0000"
"2018/12/04","108.5200","44572140.0000","111.9400","112.6373","108.2115"
"2018/12/03","112.0900","34293960.0000","113.0000","113.4200","110.7300"
